"DateTime","Players","Average Players","Twitch Viewers"
"2015-07-31 00:00:00",19886,,5173
"2015-08-01 00:00:00",21207,,4920
"2015-08-02 00:00:00",23220,,6256
"2015-08-03 00:00:00",20769,,4330
"2015-08-04 00:00:00",19619,,6436
"2015-08-05 00:00:00",18172,,4934
"2015-08-06 00:00:00",17610,,5185
"2015-08-07 00:00:00",16862,,4161
"2015-08-08 00:00:00",18280,,7364
"2015-08-09 00:00:00",19789,,4916
"2015-08-10 00:00:00",17952,,5115
"2015-08-11 00:00:00",16695,,4779
"2015-08-12 00:00:00",16080,,4473
"2015-08-13 00:00:00",15593,,5075
"2015-08-14 00:00:00",14915,,3831
"2015-08-15 00:00:00",16531,,4514
"2015-08-16 00:00:00",17559,,3293
"2015-08-17 00:00:00",15389,,4038
"2015-08-18 00:00:00",14691,,4308
"2015-08-19 00:00:00",14018,,3949
"2015-08-20 00:00:00",13361,,3711
"2015-08-21 00:00:00",13155,,3737
"2015-08-22 00:00:00",14576,,3142
"2015-08-23 00:00:00",15293,,3790
"2015-08-24 00:00:00",13740,,2673
"2015-08-25 00:00:00",12265,,2685
"2015-08-26 00:00:00",11347,,2335
"2015-08-27 00:00:00",11100,,3034
"2015-08-28 00:00:00",10252,,2685
"2015-08-29 00:00:00",10874,,1392
"2015-08-30 00:00:00",11310,,1481
"2015-08-31 00:00:00",10092,,1504
"2015-09-01 00:00:00",8713,,1614
"2015-09-02 00:00:00",8459,,1889
"2015-09-03 00:00:00",8878,,2239
"2015-09-04 00:00:00",8998,,2068
"2015-09-05 00:00:00",9930,,1647
"2015-09-06 00:00:00",10490,,1757
"2015-09-07 00:00:00",10759,,3519
"2015-09-08 00:00:00",9505,,2583
"2015-09-09 00:00:00",7876,,1306
"2015-09-10 00:00:00",7854,,2125
"2015-09-11 00:00:00",7887,,1907
"2015-09-12 00:00:00",9199,,2586
"2015-09-13 00:00:00",9747,,1921
"2015-09-14 00:00:00",8404,,1691
"2015-09-15 00:00:00",7534,,1662
